brand,price,title
Apple,384.99,Apple iPad Air 3rd Gen (2019) - All Sizes - All Colours - Wi-Fi Only - Good
Samsung,299.99,"Samsung Galaxy Tab S6 SM-T865 10.5"" 256GB, 4G, Unlocked - Mountain Grey vg"
Microsoft,289.99,"Microsoft Surface Pro 5 (2017) - Core i5 128GB (4GB RAM) 12.3in, Silver - Good"
Apple,454.99,Apple iPad Pro 1 2018 - 11in - All sizes - All Colours - 4G Unlocked - Good
Apple,529.99,Apple iPad Pro 1 2018 - 11in - All sizes - All Colours - 4G Unlocked - Excellent
Apple,519.99,"Apple iPad Pro 11"" 2nd Gen 2020 128/256/512/1T<wbr/>B WiFi/4G Unlocked Good Condition"
Samsung,109.99,"Samsung Galaxy Tab A SM-T585 10.1"" WI-FI+4G (Unlock) 32GB Android Tablet - Black"
Microsoft,424.99,Microsoft Surface Pro 7- Core i3 - 4GB RAM 128GB - Platinum - Wi-Fi Only - Good 
Apple,559.99,"Apple iPad Pro 11in 2nd Gen 2020 128GB  Cellular - A2228 Excellent, With box"
Entity,74.99,"Entity Verso Pro 10.1"" Tablet 4G LTE Android 32GB Keyboard Silver C Grade"
Samsung,69.99,"Samsung Galaxy Tab 4 SM-T530 10.1"" WIFI 16GB 1.5GB Ram 2x Camera Android - White"
Nokia,99.99,"Nokia T20 10.4"" Tablet Android 4GB RAM 64GB Storage 2K HD Deep Ocean Blue"
Microsoft,294,🔥🔥 Microsoft Surface Pro 4 i5-6300U 8GB RAM 256GB W10Pro 1724 With Case Bundle
Samsung,119,"Samsung Galaxy Tab A7 Lite 8.0""  32GB  WiFi + 4G  Black SM-T225 Warranty Grade A"
@Tab,399.99,"Panasonic Toughbook CF-D1,i5 Mk3, 6Th Gen 16GB 1TB SSD, Win 11 Pro Engineers Tab"
Apple,65,Apple iPad Mini 2 2nd Gen 16GB 32GB 64GB 128GB Space Grey Silver Tablet | Good
Lenovo,89.99,"Lenovo Tab M8 Tablet HD Mediatek Helio A22 2Gb 32Gb 8"" Android 9.0 ZA5G0064GB"
Padgene,85.58,"Padgene 10"" Google Android Tablet, 32GB Ram,16GB, Dual Sim Card 6000mAh Battery"
Microsoft,534.99,Microsoft Surface Pro 7 - Core i5 8GB RAM 128GB - Platinum - Wi-Fi Only - Good
Microsoft,199.99,"Microsoft Surface Pro 3 Intel Core i7-4th Gen 256GB SSD 8GB Ram 12.3"" Tablet"
Samsung,128.99,"Samsung Galaxy Tab A7 10.4"" Tablet 3GB RAM 32GB WI-Fi Grey C Grade"
HP,119,HP ElitePad 1000 G2 Atom® Z3795 4G SIM SLOT 4GB 64GB SSD Windows 10 Pro (A+)
Apple,39.99,Apple iPad 2nd Generation 32GB Cellular 3G Pristine Excellent condition
Apple,189.99,"Apple iPad 6th Gen (2018) - 32GB/128GB, Wi-Fi, 9.7in - Silver/Grey/Go<wbr/>ld"
Samsung,69.99,Samsung Galaxy Tab S SM-T700 (2014) 16GB WIFI 8.0 - GOOD CONDITION
Sony,125,Sony Xperia Z3 Tablet Compact 8.0 (2014) Mixed Colours Very Good Condition
Apple,299.99,Apple iPad Air 3rd Gen (2019) - All Sizes - All Colours - Wi-Fi Only
